n;absoluteError;relativeError;remainder
3;0.009341853056960003;2.435777932127582;0.0057421289945961
5;1.8027489665284335e-05;0.004700455169934669;0.00010962947891075729
15;7.034373084024992e-13;1.8341297620448833e-10;1.4256961693991916e-18
33;5.551115123125783e-16;1.4473877541389547e-13;6.067982845623991e-69
55;4.440892098500626e-16;1.1579102033111637e-13;0.0
81;1.3705703238997557e-13;3.573600364969079e-11;0.0
n;absoluteError;relativeError;remainder
3;0.004058395622123623;0.5872366210900868;0.004961708376814304
5;0.0002331524822851705;0.03373640439328742;9.372040846544657e-05
15;1.0192624522176175e-10;1.474839552806016e-08;1.19972134534887e-18
33;1.3899215112189722e-11;2.0111711322060796e-09;5.208345991067026e-69
55;2.5472938758319685e-07;3.685851227545678e-05;0.0
81;0.08025838188204115;11.613126313670175;0.0
n;absoluteError;relativeError;remainder
3;0.003303373553851352;0.5348398113422032;0.019818680069311725
5;0.00015720712438560547;0.025452958128219922;0.00040071251651505865
15;1.2848611063986937e-11;2.0802820527094855e-09;5.6603800863828045e-18
33;7.395195567028168e-13;1.1973350689620569e-10;2.372966731060619e-68
55;2.5079225252078174e-08;4.060505989942213e-06;0.0
81;0.0012584151663466159;0.20374641837714422;0.0
n;absoluteError;relativeError;remainder
3;0.0016195858242135514;3.3447014336074172;0.007984113693451964
5;3.654921488261548e-05;0.07547992183401002;0.0001556157237753417
15;9.977435544428204e-14;2.060498583665943e-10;2.08565665407434e-18
33;0.0;0.0;8.755433182870702e-69
55;6.245004513516506e-17;1.2896924162315522e-13;0.0
81;6.245004513516506e-17;1.2896924162315522e-13;0.0
